Review,giai_tri,luu_tru,nha_hang,an_uong,di_chuyen,mua_sam
"điểm mua sắm quà lưu niệm lý tưởng, đầy đủ hàng hóa của các làng nghề truyền thống của vùng quê đất võ tây sơn, bình định. nơi đây là điểm cung ứng hàng hóa của người nông dân nên giá cũng rất bình dân. hãy đến đây khi đến với bình định, vì không muốn khi về quên mang theo món đặc sản truyền thống, tinh hoa của đất võ tây sơn ",0,0,0,0,0,5
xe báo chạyh tối nhưng cuối cùng tớih30 mới xuất phát. và theo lịch thìh sáng hôm sau thì tậnh30 người trong đoàn báo lại vẫn còn cách quy nhơnkm - sự việc khiên cho đoàn chúng tôi xém bị trễ công việc.,0,0,0,0,3,0
"chúng tôi ăn nhanh nhất có thể vì một anh chàng người trung quốc ở đó nghĩ rằng anh ta đã bị thứ gì đó cắn. không thực sự biết nếu nó là trường hợp, không muốn biết.",0,0,0,0,0,0
"quán chắc làm việc với lê tân flc để đưa đón miễn phí. nhưng đồ ăn thì cơ bản đắt và không tươi. lúc hỏi nhân viên mực tươi không thì nhân viên nói tươi, nhưng lúc mang ra thì mực không tươi và cảm nhận đc ngay là đồ đông lạnh. hàu nướng mỡ hành thì quá dở, vỏ mà có tới con hàu và không bằng quán vỉa hè. khuyến nghị du khách không nên đến quán này.",0,0,0,1,5,0
"hải sản ở quy nhơn vốn đã khá tươi và nhiều loại lạ đa dạng rồi. quán khá lớn, rộng rãi và thoáng đãng. nhân viên phục vụ lịch sự, lễ phép nhưng hơi chậm chạp. nhà mình đi ăn có lô lốc lít nhít trẻ con không ăn nhậu được nên phải gọi cơm thịt trứng canh cho tụi nhỉ ăn riêng mà phải chờ lâu ơi là lâu. đến khi mâm người lớn phải ăn nhậu được nửa bữa rồi mới thấy mâm trẻ con được vào ăn. đồ ăn mặt bằng chung chế biến ổn, có món ăn rất lạ miệng.",0,0,0,4,0,0
"phòng có giường lớn, êm đẹp, sạch sẽ,... lễ tân is the best. buffet ngon, thanh đạm. không gian sảnh sang chảnh tha hồ check in. cảm ơn phương linh đã giúp tụi mình tìm căn phòng vừa ý. nếu có dịp mình sẽ chọn căn pano.",0,5,0,0,0,0
"đã thuê xe tại đây  xe đời mới chạy rất êm và không có vấn đề trục trặc .
nhóm mình thuê tận ngày, đi chinh chiến tận cả các điểm du lịch như eo gió, kỳ co, flc, hầm hô, tháp bánh ít, nhà thờ lòng sông, hoa vàng cỏ xanh ở phú yên nữa mà chẳng gặp bất cứ trục trặc gì. anh chủ cho thuê xe cũng rất tận tình và thân thiện . tư vấn cho mình rất nhiều món ăn ngon và địa điểm mua đặc sản giá rẻ mua về làm quà 
các bạn nên thuê xe máy tạia hoàng hoa thám khi đến quy nhơn du lịch nhé, thoải mái vi vu yên tâm cực kỳ luôn",0,0,0,0,5,0
có một chuyến đi vào tối thứ sáu thông qua giao thông rất nặng vào giờ cao điểm.,0,0,0,0,1,0
"hiện  tại đã tu sửa xong, tuy nhiên loại hình nghệ thuật này phổ biến ở vùng nông thôn bình định hơn là thành phố, đáng buồn là người dân thành phố chưa có sự quan tâm đúng mức đến loại hình nghệ thuật đặc sắc này",4,0,0,0,0,0
"anh chị chủ xe nhiệt tình, vui vẻ, hỗ trợ khách nhanh và chu đáo. giao xe và lấy xe tận nơi. xe mới,đẹp như xe gia đình chứ không phải đang đi xe thuê. nếu có dịp ra quy nhơn mình sẽ tiếp tục ủng hộ.",0,0,0,0,5,0
"phải nói xe này là tồi tệ nhất trước giờ đi . ai mà đi về đà nẵng không nên đi nhé .nó thả cách thành phố -20km phải tốnk tiền xe về tới nhà. trong khi đặt đã nói về tới bến xe . còn ô phụ xe thì thôi mặt lúc nào cũng nhăn khách này nọ . không cho nổi chai nước suối , cái khăn lạnh nữa . đúng xe dỏm
",0,0,0,0,1,0
sáng nay mình ghé shop cứ nghĩ shop có mấy hệ thống có thương hiệu khá thấy vọng khi mua đồ tại shop phục vụ kém thái độ ra mặt mọi người cẩn thận vô phải mua chứ ko mua coi chừng bị chưởi nha nói chung đồ ko đẹp mà thái độ phục vụ còn tệ hơn,0,0,0,0,0,1
"sau một tuần làm việc mệt mỏi chắc hẳn ai cũng muốn được nghỉ ngơi, heekcaa sẽ là nơi tuyệt vời vào ngày cuối tuần để bạn tụ tập tám dóc với bạn bè. view đẹp, không gian yên tĩnh, nhân viên nhiệt tình vui vẻ. nơi đây sẽ không làm bạn thất vọng đặc biệt là nước. phải nói là rất ngon giá cả cũng không quá cao phù hợp với mọi người. hôm nay tôi nhâm nhi thử món trà sữa cheese thêm trân châu trắng và sữa tươi heekcaa trân châu đường đen. trân châu ở này rất ngon không như những quán khác mà tôi từng đi. chắc đến đây miết quá ",0,0,0,5,0,0
"gần biển,gần chỗ ăn uống.nhân viên dễ thương",0,4,0,0,0,0
"trải nghiệm mua sắm tại chợ là tuyệt vời.hay nan lại vài giây để có một trái nghiệm thú vị.
",0,0,0,0,0,5
"đăng ký thuê xe tự lái quy nhơn xe chỗ giao xe tại sân bay phù cát rất đúng giờ. nhiệt tình tư vấn các điểm ăn ngon giá rẻ
",0,0,0,0,4,0
"mát mẻ,nhìn cũng dc,nhưng ko có gì đặc sắc cho lắm.tới tham quan,chụp vài tấm ảnh rồi ghé quán cafe uống ly nước view biển là xong.
",4,0,0,0,0,0
"ăn no, món ăn ngon, gia đình mình ăn xong cả bàn ngổn ngang đĩa niêu vì mỗi đĩa rất ít. cơm và cá ngon, canh hơi chua quá, tôm bình thường, kho quẹt bình thường, rau thập cẩm trình bày mất thẩm mỹ. điểm trừ là phục vụ kém, ra đồ chậm, không biết gợi ý cho khách, ko miêu tả đc độ ít của đồ ăn. nước ngọt và bia cũng phải gọi mấy lần mới có",0,0,0,2,0,0
nhà sách nay bị thu hẹp đi rất nhiều so với trước vì bên cạnh là của hàng xe máy yamaha  mở rộng cửa hàng thuê phần đất của nhà sách. nên vì thế nhà sách bán đồ cũng ít hơn trước. không còn đông vui nhộn nhiệp tấp nập như trước đây,0,0,0,0,0,3
"khách du lịch có nhu cầu thuê xe máy liên hệ địa chỉ này nha, ông bà chủ cực kỳ dễ thương lại nhiệt tình. giá thuê xe thì khỏi bàn, siêu iu luôn nà",0,0,0,0,4,0
"mình thuê xe chạy từ quy nhơn đến các địa điểm du lịch ở tuy hòa - phú yên. đây là cung đường đẹp nhất miền trung, vắng vẻ, ít xe và đường rất dễ đi. nếu đã quyết đi phượt miền trung thì nhất định phải chạy cung đường này. ngoài vẽ đẹp thiên nhiên thì chúng ta có thể ghé các khu nhà nuôi tôm để ăn hải sản hoặc vào đầm ô loan, có thể ghé các địa điểm du lịch khác như ghềnh đá đĩa, hoa vàng cỏ xanh, mũi điện... xe thuê ở đây chạy rất tốt, êm dường như được bảo dưỡng rất kĩ. ngoài chuẩn bị mũ bảo hiểm và áo mưa, xe còn được trang bị đầy đủ gương và bạn chủ còn đi photo giấy tờ xe công chứng để bọn mình bọc đi đường, rất chu đáo và nhiệt tình. chuyến đi kết thúc an toàn và vui vẻ, không gặp bất cứ sự cố gì, lần sau có dịp ghé quy nhơn nhất định sẽ quay lại đây để thuê xe máy. cảm ơn và hẹn gặp lại",0,0,0,0,5,0
"nhân viên nhiệt tình, phong cách hiện đại. phòng ban công view phố đẹp, phòng mới sạch sẽ.",0,5,0,0,0,0
"quên nói về thức ăn - kêu nhum gì mà thê thảm , không béo gì hết, chỉ màng mỏng , ăn không cảm nhận được gì luôn , tôm mũ ni giá tr2 /kg vậy mà lúc chế biến không hề đem lên cho khách xem, lúc order thì pv nói con chỉ khoảng mấy lạng cuối cùng tính tiền con gần cả ký lô- - nói chung tránh xa quán này ra",0,0,0,1,0,0
"quán hơi chật, mà có đồ nướng với lẩu nữa,nên hơi bị ám mùi sau khi ăn xong. nhưng được cái quán cũng khá sạch sẽ. kiểu đồ ăn tây nhưng giá tiền lại việt nam. đồ ăn ổn, pizza rất thơm và ngon, nhiều phomai nên mềm lắm. ba người ăn một cái là đủ rồi, đã cơn thèm. món nướng thì ngon có nhiều lọi thịt như bò,ba rọi, đà điểu để mình chọn, nướng cuộn với xà lách tươi xanh chấm nước tương kiểu hàn quốc mà ngon lắm. quán khá đông khách nên phục vụ hơi chậm. nhưng mình vẫn sẽ quay lại",0,0,0,4,0,0
đến một vài lần vào buổi tối để chơi bóng bàn với du khách. thật vui.,4,0,0,0,0,0
"gia đình mình có trẻ con nên ở phòng đôi k có bồn tắm, nhưng khách sạn linh động cho mình phòng đôi có bồn tắm trẻ con tắm thoải mái.nhân viên lễ tân nhiệt tình, lễ phép. vị trí thuận tiện, đi bộp là đến vincom,p là ra đến biển, khá gần đường chính.",0,5,0,0,5,0
không có lotte mart nên phải đến siêu thị big c. bình thường,0,0,0,0,0,4
người thợ bản xứ này biết tiếng anh khá tốt theo tiêu chuẩn việt nam. anh ấy rất thân thiện và đã đưa ra mức giá rẻ nhất mà chúng tôi có cho đến nay trong kỳ nghỉ của mình. anh ấy cũng cho chúng tôi những lời khuyên tuyệt vời về xe máy nói chung.,0,0,0,0,5,0
"20k/ tô có nhiều chả, ăn vừa miệng, khá ngon. quán có bà ngoài và một anh bán, bà ngoại đã già nhưng vẫn ngồi bếp múc bánh canh bán cho khách, còn anh thanh niên thì phụ bưng bê. có điểm trừ là quán hơi nóng :",0,0,0,4,0,0
"vào siêu thị mà bị bảo vệ đi theo sau từ ngoài cổng cho tới mỗi khu vực quầy hàng, cảm giác rất khó chịu
",0,0,0,0,0,3
"nhắc đến hải sản thì không thể không nhắc đến quy nhơn, là thành phố biển với nhiều cảng, đầm, vịnh. quy nhơn mang lợi thế cực lớn về nguồn hải sản, đó cũng là lý do có nhiều quán hải sản giá rẻ nhưng cực tươi ngon ở đây.
nghĩa ghẹ là một trong những quán như vậy, nằm ở một con đường nhỏ, khuất và không gian quán không quá rộng. tuy nhiên lại là nơi tụ tập rất đông bạn trẻ địa phương bởi quán chế biến khá ngon, nước chấm đậm đà, hải sản tươi sống và đặc biệt là giá rất hạt dẻ.
menu không cố định vì hải sản tươi sống thay đổi liên tục, nhưng đảm bảo món gì cũng ngon bá cháy. buổi trưa sẽ ít khách hơn ngồi rộng rãi thoải mái, buổi chiều đến tối thì rất đông nhưng vui ",0,0,0,5,0,0
"pig c giá thì có rẻ .nhưng hàng khuyến mãi thì mua về không dùng được.đặt biệt là đồ ăn khuyến mãi hạn dùng còn lâu mà mua về mấy bì hư hết trọi.mình bị lần rồi .lần trước mua trúng đồ hết hạn mang qua trả lại không chịu trả lại tiền mà biểu mình mua món đồ khác sao cho đủ tiền.vãi thật
",0,0,0,0,0,2
"mình hay ghé nhà hàng ngon ở trần hưng đạo để dùng bữa với bạn bè và đối tác. ở đây có không gian rộng rãi, thoáng mát, lịch sự. các món ăn cũng đa dạng, và được chế biến dễ chịu.",0,0,5,5,0,0
"đón xe taxi vinasun ở sân bay tân sơn nhất ga quốc nội, nghe thấy gần bắt đầu đổi thái độ hung hãn, ko phải nói chuyện mà chửi vào mặt khách, lái xe thì lao như điên và thắng gấp liên tục với sự cố ý, đạp thắng liên tục chỉ trongm. ngay vòng xoay bùng binh, quẹo trái bất chấp, tưởng chừng tông xe luôn rồi. đến nơi, hỏi giá thì không thèm trả lời. mình nhìn lên thấy.000 thì đưa.000, tài xế quay lại hét vào mặt với là.000",1,0,0,0,1,0
"điểm mua sắm lâu đời ở quy nhơn và các huyện thị lân cận. đầy đủ và bình ổn giá. vào dịp tết rất nhộn nhịp, nằm ngay trung tâm dễ tìm, có bus đi ngang.
",0,0,0,0,0,4
"sân bay cách trung tâm tp quy nhơn khoảngkm. hơi bất tiện trong việc đi lại. tuy nhiên sân bay rộng, đẹp. phòng chờ vip rông rãi.
",0,0,0,3,0,0
"từ khắp nơi trên thế giới khi đến việt nam họ đều tìm đến với dịch vụ cho thuê xe máy xuân tính và đều rất hài lòng và giới thiệu cho bạn bè về dịch vụ này ưu điểm của dịch vụ này là vừa sửa xe kết hợp cho thuê xe máy ,xe mới ,giá cả lại rẻ lại tư vấn các dịch vụ như lưu trú ăn uống miễn phí cho du khách",0,0,0,0,4,0
"cảnh quang chưa đep. nếu được mở rộng thêm. khắc các câu thơ hoàng mặc tử
và các ban thơ .tạo ra các điểm nhấn sinh động. vệ sinh môi trường quá nhớp",3,0,0,0,0,0
nhiều món. giá cả phù hợp. phục vụ chu đáo.,0,0,0,5,0,0
"phòng thoải mái, khá rộng, có bếp và dụng cụ có thể nấu ăn chung. tiện nghi đầy đủ giá tốt",0,5,0,0,0,0
"mình muốn tạo bất ngờ cho vợ nên nhờ các bạn setup phòng tình nhân  thật sự các bạn đã làm cho vc mình bất ngờ, vợ mình đã rất vui. cảm ơn các bạn raon",0,5,0,0,0,0
phòng rộng. sạch sẽ. có thể ở tới người,0,5,0,0,0,0
"vị trí đep, ngay đối diện với cổng dh quy nhơn. hơi nhỏ nhưng với vị trí như vậy thì cũng là quá tốt
",0,4,0,0,0,0
"bữa sáng rất tuyệt, phòng rất rộng rãi, giường rất thoải mái, có tầm nhìn ra quang cảnh thành phố từ một cửa sổ và quang cảnh đại dương từ cửa sổ khác. tất cả các nhân viên từ sandy, người điều hành khách sạn đến người gác cửa và tất cả các nhân viên khác đều tuyệt vời, tôi không thể mắc lỗi gì về khách sạn và không thể chờ đợi để quay trở lại.",0,5,0,5,0,0
"nơi phù hợp để trải nghiệm cảm giác bơi lội, lặn ngắm san hô, thưởng thức hải sản, chụp hình và chơi các trò chơi trên nước
",4,0,0,0,0,0
"gia đình mình có chuyến nghỉ ngắn ngày cuối tuần tại avani, mình rất ấn tượng với dịch vụ của resort, nhất là bạn lễ tân tên cường đã take care gia đình mình từ đầu đến cuối và hỗ trợ mình cả issue liên quan đến bên booking.
ngoài ra, mình cảm thấy rất đáng tiền với view biển, phòng ốc đầy đủ tiện nghi, bể bơi đẹp và đồ ăn ngon.
nhất định mình sẽ quay lại đây nhiều lần nữa. cám ơn avani vì trải nghiệm tuyệt vời",0,5,0,0,0,0
"đồ khá đầy đủ, có thể mua dừa trái, đồ về làm quà nem, cá mực tôm khô, các loại mắm ở đây. chợ mở cả ngày tuy nhiên có nhiêu khu chỉ mở sáng sớm. ghé chợ tầm chiều tối có thể ghé ăn ốc thúy kiều ở ngay gần đó
",0,0,0,5,0,5
"sân bay nhỏ, nhưng thiết kế khá hiện đại, đồ ở đây bán rẻ như mua ở tp quy nhơn. nhưng một số đồ không có ví dụ bánh hồng, nên ai muốn mua đồ đặc sản như bánh hồng, thì mua ở tp quy nhơn nhé.
",0,0,0,0,3,3
tuy không tiện nghi nhưng giá cả bình dân nhất quy nhơn,0,4,0,0,0,0
"không gian rất sang trọng và ấm áp, nhân viên cũng rất nhiệt tình.",4,0,4,0,0,0
"giường hơi mềm, không phù hợp lắm với người bị đau lưng",0,3,0,0,0,0
có thể do dịch nên ít khách. phòng có mùi mốc,0,2,0,0,0,0
"xem mng review nên cũng ham hố đến thử  một đĩa gồm hai bánh hình tròn chỉ to bằng bàn tay xoè ra. ăn cũng không có gì là đặc sắc cả, trừ việc vỏ bánh khác so với vỏ bánh ngoài hà nội. ăn uống xong xuôi đến lúc ra tính tiền đớ luôn.k/ đĩa gồm cái bé. trong khi những chỗ khác-30k/ đĩa đc bánh to ơi là to. cũng do lỗi tại mình không xem xét giá trước  coi như một bài học cho cả nhà. thử lần cho biết và sẽ không quay lại vì giá cả không xứng với hương vị đem lại  được cái không gian rộng rãi, thoáng mát.",0,0,0,2,0,0
"tài xế có tâm : khách nhịn tè từ trên đèo nhịn xuống đã đành, đằng này tới nơi có hộ dân sinh sống vẫn đi tu tu chả thèm dừng dù khách la réo xin đi vsinh. mồm mình thay cho quả thận phát tín hiệu được hơn tiếng đồng hồ rồi vẫn chưa được giải cứu. rip my bladder
",0,0,0,0,2,0
lên tầng chơi bowling và xem phim tuy nhiên cảm thấy thất vọng. hệ thống điều hòa không hoạt động gây cảm giác ngột ngạt và thiếu không khí,2,0,0,0,0,0
"cách âm kém, ko có hỗ trợ kh về các vật dụng mượn thêm vào buổi tối như tô muỗng",0,2,0,0,0,0
"tôi thấy quán cần đào tạo lại nhân viên, để ý để review . bản thân tôi sẽ không bao h quay lại.",1,0,1,0,0,0
"hôm nay, tôi gọi phòng vip họp mặt bạn khi nói chuyện với nhân viên đặt phòng. mới hỏi một câu thi lại đáp một câu, ko biết tôn trọng khách hàng tôi khuyến cáo mọi người ko nên tới nhà hàng nay cho dù thức ăn ngòn mài cách phục vụ thế này ko chấp nhận được",0,0,0,1,0,0
"xe khá là hôi, mùi ẩm mốc bốc lên rất khó chịu cộng với chỗ giường nằm có các con vật be bé nhìn kinh vi.
",0,0,0,0,2,0
"tôi bình chọn sao, mọi thứ đều hoàn hảo. chủ sở hữu nói tiếng anh tốt và địa điểm gần ariport, vì vậy nếu bạn có thời gian, đừng suy nghĩ kỹ và sự cầu xin này có một mức giá tốt, vì vậy đừng lo lắng, hãy hạnh phúc.",0,0,0,0,5,0
"bánh mì kẹp thịt của tôi là những chiếc nhẫn hành tây thơm ngon, hoàn hảo, giòn và nhẹ.",0,0,0,4,0,0
"30/4 vừa rồi đông khách, vợ mình đợi"" chưa đi được thang máy.",0,3,0,0,0,0
"chúng tôi ghé qua vào khoảngh đêm, thưởng thức ly cocktail và ngắm thành phố về đêm. ánh đèn sài gòn quá đẹp nhân viên vô cùng dễ thương, đồ ăn và nước uống đa dạng nhiều chọn lựa",4,0,0,4,0,0
"nằm ở đường diên hồng quy nhơn. quán này cũng khá nổi tiếng ở đây về độ ngon. nhưng mình thì cũng thấy được thôi, chứ không ngon lắm. vì ăn nhiều sẽ ngấy vì mình thấy hơi nhiều dầu. một người ăn tầm hai cái là vừa đủ no. bánh nhiều tôm và nhiều thịt bò, đặc trưng là bò và tôm đều rất tươi, rau sống ăn kèm thì toàn rau non và ngọt, nước chấm cũng vừa miệng quán cũng khá sạch sẽ, mà tại giá hơi chát nên ảnh hưởng một phần độ ngon của nó.",0,0,0,3,0,0
"một khách sạn hoàn hảo , đánh giá cao,",2,0,0,0,0,0
"mình ăn ở đây lần rồi vì quán rất đông vào buổi trưa nên mình chọn phòng riêng. về giá cả thì hơi cao hơn mặt bằng chung ở quy nhơn nhưng vị ddồ ăn một số món rất ngọt đối với mình. có thể đây là điểm check in lý tưởng của nguời quy nhơn vì ở quy nhơn quán không gian rộng và bắt mắt như vầy chỉ có đến quán. tuy nhiên, với mình ngon vẫn là quan trọng. chắc vì ở sài gòn có nhiều quán đẹp và ngon nên mình hơi kén. hihi :",0,0,0,3,0,0
"có chỗ để xe máy ở tầng trệt, ở trong hẻm nhưng đường đủ rộng để xe bánh vào tới nơi.",0,2,0,0,0,0
"nhiều mặt hàng mua sắm. rạp cgv hơi ít xuất chiếu.
",0,0,0,0,0,3
"không gian đẹp, lấy từ không gian gỗ hội an. món ăn ngon, chất lượng, nhân viên phục vụ tận tình và rất lễ phép, món ăn lên nhanh. tôi không còn từ gì để nói hài lòng và rất hài lòng. về quy nhơn, bình định nhất định phải ghé vào dùng không thì tiết lắm.",0,0,0,5,0,0
một quán ăn không thể bỏ qua nếu đến quy nhơn ăn hải sản nha. đồ ăn tươi ngon chế biến vừa vặn giá cả hợp lý cạnh quán nghĩa ghẹ. ăn quán này vắng hơn mà phục vụ tận tình lắm.,0,0,0,5,0,0
"tài xế chạy quá nhanh, quá ẩu. nằm ngủ chẳng yên",0,0,0,0,2,0
"đã từ bao giờ sân bay phù cát lại thuộc thành phố quy nhơn qua thông tin của các hãng hàng không. nên đính chính lại để sai sót này không trở nên mặc nhiên đúng
",0,0,0,0,0,0
"phòng sạch sẽ gọn gàng, nhân viên nhiệt tình thân thiện và chu đáo.",0,5,0,0,0,0
đầu bếp tan và nhân viên của mình rất thân thiện và niềm nở. các món ăn chúng tôi nấu rất ngon với chỉ một vài thành phần được sử dụng. rất khuyến khích một chuyến thăm.,5,0,0,5,0,0
"phòng khá cũ. mình ở lần lần ở phòng bình thường thì thấy ok. lần ở studio view biển thất vọng thực sự. view biển đã bị chắn bởi công trình này thì không phải lỗi của khách sạn nhưng hơi bị trái so với kì vọng của mình. phòng thì cực kì nóng nực. lúc mới check in vô thì bật điều hoà đúng mode và nhiệt độ thấp nhưng vẫn cực kì nóng. gọi nhân viên lễ tân thì bạn nói câu “biết sao không” nghe rất chối với khách hàng. đến ngày hôm sau qua đêm rồi vẫn nóng và gọi lễ tân lần nữa thì lại có câu trả lời tương tự về việc phòng hấp hơi nhiều kính, không chủ động hỏi khách cần quạt hay cho người lên check, phải để mình yêu cầu mà vẫn còn lưỡng lự. thực sự sau lần này chắc sẽ không quay lại nữa.",0,1,0,0,0,0
"đa dịch vụ. đồ ăn tươi, chế biến ngon. hải sản phong phú, giá ổn. phục vụ cũng nhanh, nhân viên ít cười nhưng khá thân thiện, dễ thương. canh nghêu chua , canh cải tôm, cá bóp chua rất ngon. thỉnh thoảng cơm hơi cứng. rau luộc xanh. có xe đưa đón tại flc, đây là điểm cộng cho quán. dịch vụ du lịch kỳ co trọn gói. ngoài ra, hoàng thao còn giúp bạn gọi xe đưa đón sân bay giá cực tốt",5,0,5,5,5,0
"chiều hôm kia mình và nhóm bạn đi tìm quán trà sữa để uống cũng như chém gió. trong nhóm có đứa chưa vào palace tea nên cả bọn quyết định kéo nhau vào palace tea. chiều sớm nên quán cũng không đông lắm, mỗi đứa gọi cho mình loại, mình thì uống ô long cam đào dâu tây. ấn tượng chung của mình là ly trà ô long rất đẹp, màu nước cũng đẹp nữa. hương vị thì rất ổn nhé, nước lại thơm mùi trái cây nữa. tuy giá của nó khá là cao nhưng nó là món nước thực sự đáng thử khi tới palace tea.",0,0,0,4,0,0
"nhà hàng có view đẹp, nhân viên thành long phục vụ nhiệt tình, thức ăn ổn, sẽ quay lại. món bông cải dầu hào ăn rất tươi không có dầu mỡ.",5,0,5,5,0,0
chợ bán hải sản tươi ngon nhưng giá hơi cao,0,0,0,0,0,4
"quán chỉ bán từ buổi chiều tới khuya và lúc nào cũng nườm nượp khách. nằm trong một cái hẻm bé tẹo, nên kiếm địa chỉ khá khó. quán cũng nhỏ, khách phải leo lên đoạn cầu thang. khay ăn dọn lên gồm một dĩa bánh mì nóng giòn xắt khúc, một tô lagu có miếng thịt ngọt lừ, thêm chút bùi bùi từ hạt sen, củ lang, cà rốt, đậu đỏ…trước khi nướng, người bán nhanh tay quét một lớp bơ đều lên bánh, tỏa mùi thơm nồng nàn. tô lagu này có giá ba mươi ngàn, tính ra cũng hơi cao so với mặt bằng chung",0,0,0,4,0,0
khách sạn gần trung tâm đi lại khá tiện. phòng ốc xịn xò sạch sẽ. mình book được phòng view nhìn chếch ra biển khá chill,0,4,0,0,0,0
một tiệm dessert nhỏ nhưng lúc nào cũng khá đông mình đến lần rồi. phục vụ nhiệt tình. bánh bông lan trứng muối và chè khúc bạch ở đây là món mình có thể ăn hoài ko ngán.,0,0,0,5,0,0
"tôi sẽ chụp lại nếu có nhu cầu đi du lịch vũng tàu, tuy nhiên tôi không nghĩ mình sẽ làm như tôi đã thấy nhiều nơi tốt hơn ở việt nam.",3,0,0,0,0,0
"rượu ngon, nam vô tửu như kỳ vô phong
",0,0,0,5,0,0
